text_type;text
cdiNameSufix;Wersja adaptatywna dla rodziców starszych dzieci
noGender;Hvilket kjønn har barnet?
fillerLabel;Hvilken relasjon har du til barnet?
fillers;mor, far, annet svar (vennligst skriv inn):
noFiller;Velg hvem som skal fylle ut spørreskjemaet.
sidebarInstr;Kryss av for «ja» eller «nei».
alreadyFilled;Dette spørreskjemaet er allerede fylt ut av deg.
ProdLongText;"<p>På de neste sidene kommer typiske ord som små barn kjenner til. Barn forstår mange flere ord enn de sier, men her vil vi at du skal merke av bare for de ordene barnet sier.</p><p>Merk av for «ja» selv om:<strong><br /></strong></p><ul><li>barnet ditt bruker en annen form, f.eks. en barneform «vov-vov» i stedet for «hund», eller en dialektform, f.eks. «ronse» eller «disse» i stedet for «huske»,</li><li>barnet ditt uttaler det annerledes, f.eks. «fue» i stedet for «flue» eller «djuej» i stedet for «druer»,</li><li>barnet ditt bruker sitt eget uttrykk, f.eks. «esketti» i stedet for «spagetti»,</li><li>familien din bruker et annet ord enn det som er oppgitt i spørreskjemaet.</li></ul><p><strong><br />Merknader<br /></strong></p>I «Merknader»-delen på slutten av spørreskjemaet kan du legge til andre former eller barnets eller familiens egne uttrykk for ordene fra listen.<strong><br /></strong></p><b><p>VIKTIG: Spørreskjemaet er beregnet på barn i ulike aldre, så ikke bli bekymret dersom</b></p>"
continueBtn;Neste
longText;"<p>Spørreskjemaet du fyller ut, brukes til å undersøke de tidlige stadiene av språkutviklingen hos små barn. Vi bruker det i tillit til at det er du som kjenner barnet ditt og dets utvikling best. Når du svarer på spørsmålene, skal du ikke teste barnet ditt, be det gjenta enkeltord eller prøve å lære det «nye ord». Stol på intuisjonen din, og observer barnet ditt litt hvis det er nødvendig.</p><p>Det tar bare noen få minutter å fylle ut undersøkelsen. Spørreskjemaet bør helst fylles ut i én sammenhengende økt – det er ikke mulig å avbryte og fortsette senere. Hvis du ikke fullfører skjemaet, kan du åpne den samme lenken på nytt, og spørreskjemaet vil starte fra begynnelsen.</p><p><b>MERK: Hvert ord vil bare bli presentert én gang. Etter at du har krysset av for om barnet bruker et bestemt ord, vil det ikke være mulig å gå tilbake til det. Vi ber deg derfor om å svare nøye.</b></p><p>Svar på de tre spørsmålene nedenfor og klikk på «Start»-knappen.</p>"
endText;Naciśnij „Zatwierdź”, aby zakończyć tę część.
endBtn;Bekreft
thanksMsgTitle;Viktig!
thanksMsgText;"Po kliknięciu przycisku „Dalej” nastąpi przekierowanie do drugiej części. Odśwież stronę, jeśli będzie trwało to zbyt długo."
redirectionBtn;Neste
