text_type;text;item_type;category
cdiNameSufix;Ord og setninger;;
longText;"<p>Spørreskjemaet brukes til å studere de tidlige stadiene av språkutviklingen hos små barn. Når du svarer på spørsmålene, skal du ikke teste barnet ditt, be det gjenta enkeltord eller prøve å lære det «nye ord». Stol på intuisjonen din, og observer barnet ditt hvis det er nødvendig.</p><p>Svar på de tre spørsmålene nedenfor og klikk på «Bekreft»-knappen. Hvis du mener det er noe mer vi bør vite om barnet ditt (f.eks. helseproblemer, eksponering for andre språk), kan du bruke kommentarfeltet til å fortelle oss det.</p>";start;
warning;Du kan gå tilbake til spørreskjemaet senere uten å miste dine tidligere svar: bare bruk samme lenke. For å fullføre må du bekrefte hver seksjon.;start;
menuButton;Ord;word;
header;Sjekkliste over ordforrådet;word;
longText;"<p>På de neste sidene kommer det en liste over typiske ord som små barn kjenner til. Barn forstår mange flere ord enn de sier, men her vil vi at du skal merke av bare for de ordene barnet sier.</p><p>Merk av ordet selv om:<strong><br /></strong></p><ul><li>barnet ditt bruker en annen form, f.eks. en barneform «vov-vov» i stedet for «hund», eller en dialektform, f.eks. «ronse» eller «disse» i stedet for «huske»,</li><li>barnet ditt uttaler det annerledes, f.eks. «fue» i stedet for «flue» eller «djuej» i stedet for «druer»,</li><li>barnet ditt bruker sitt eget uttrykk, f.eks. «esketti» i stedet for «spagetti»,</li><li>familien din bruker et annet ord enn det som er oppgitt i spørreskjemaet.</li></ul><p><strong><br />Merknader<br /></strong></p>I delen «Merknader» nederst på hver side kan du legge til andre former eller barnets eller familiens egne uttrykk for ordene fra listen.<strong><br /></strong></p>";word;firstPage
warning;VIKTIG: Spørreskjemaet er beregnet på barn i ulike aldre, så ikke bli bekymret dersom barnet ditt bare kan noen få av ordene akkurat nå.;word;firstPage
catHeader;Lydeffekter og dyrelyder;word;sounds
catHeader;Navn på dyr (virkelige eller lekedyr);word;animals
catHeader;Kjøretøy (virkelige eller leketøy);word;vehicles
catHeader;Leker;word;toys
catHeader;Mat og drikke;word;food_drink
catHeader;Klær og tilbehør;word;clothing
catHeader;Kroppsdeler;word;body_parts
catHeader;Små gjenstander i huset;word;household
catHeader;Rom og møbler;word;furniture_rooms
catHeader;Ting utendørs;word;outside
catHeader;Steder å dra til;word;places
catHeader;Mennesker;word;people
catHeader;Leker og rutiner;word;games_routines
catHeader;Verb;word;action_words
catHeader;Beskrivende ord;word;descriptive_words
catHeader;Ord om tid;word;time_words
catHeader;Pronomen;word;pronouns
catHeader;Spørreord;word;question_words
catHeader;Preposisjoner og stedsangivelser;word;locations
catHeader;Mengdeord og bestemmerord;word;quantifiers
catHeader;Hjelpeverb og verb med generelt innhold;word;helping_verbs
catHeader;Bindeord;word;connecting_words
help;Sjekk om du har gått glipp av noen av sidene før du bekrefter. Er du sikker på at du har krysset av for alle ordene barnet ditt sier?;word;connecting_words
menuButton;Hvordan barn bruker ord;how_use_words;
header;Hvordan barn bruker ord;how_use_words;
longText;Gjør ditt barn noe av det følgende?;how_use_words;
choiceNames;Ikke ennå,Noen ganger,Ofte;how_use_words;
menuButton;Bøyningsendelser del 1;word_endings;
