a1,d,item,question,group,id
1.23153663286785,0.405386121545573,gę gę,"ODGŁOSY I WYKRZYKNIKI:",mowa,gę gę
1.35406200546256,2.89059092481739,hau hau,"ODGŁOSY I WYKRZYKNIKI:",mowa,hau hau
1.22859718305249,2.12669603180681,ko ko ko,"ODGŁOSY I WYKRZYKNIKI:",mowa,ko ko ko
1.52967696470878,1.49584640681154,kwa kwa,"ODGŁOSY I WYKRZYKNIKI:",mowa,kwa kwa
1.39367409204264,2.77453368013275,miau,"ODGŁOSY I WYKRZYKNIKI:",mowa,miau
1.29981634640067,1.64132932972004,mee/bee,"ODGŁOSY I WYKRZYKNIKI:",mowa,mee/bee
1.38381728208305,2.47809764965325,muu [krowa],"ODGŁOSY I WYKRZYKNIKI:",mowa,muu [krowa]
1.12729165514918,0.715494591522753,pi pi pi/ćwir ćwir,"ODGŁOSY I WYKRZYKNIKI:",mowa,pi pi pi/ćwir ćwir
0.755357556773473,1.38614936975899,bam/bum/bęc,"ODGŁOSY I WYKRZYKNIKI:",mowa,bam/bum/bęc
0.818192755623418,1.58198139692173,brrum brrum [auto],"ODGŁOSY I WYKRZYKNIKI:",mowa,brrum brrum [auto]
1.58517602748706,0.771689428479506,tik tak,"ODGŁOSY I WYKRZYKNIKI:",mowa,tik tak
1.13676011410023,0.840194316497386,tralala/lalala,"ODGŁOSY I WYKRZYKNIKI:",mowa,tralala/lalala
2.43211721310919,-0.219279791238718,baran,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,baran
3.62903846917328,0.136959401725149,biedronka,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,biedronka
2.94398714416877,-0.313972582870656,bocian,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,bocian
2.55949925309368,-0.766853881347898,foka,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,foka
2.12480314166845,-0.640266261728421,gęś,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,gęś
2.58820630512152,-0.779245024885349,gołąb,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,gołąb
2.90376401003116,-0.541794966728896,jeż,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,jeż
2.61737431902385,1.1583004780664,kaczka,"ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE:",mowa,kaczka
